 Sort character strings:
       11 MeLWjN3CFJe0GxU2UabTpQw9AeeaBLncIOGLvVaGAbtfHqvIca A8AH7UyGIqV8aJCAnAAnFlOBxa7aZEPAiZWc5FYIjaExap0xhA A8AH7UyGIqV8aJCAnAAnFlOBxa7aZEPAiZWc5FYIjaExap0xhA
       12 AmbQa9SKEiY7R4WCA1agbvaalanazEKAfWMeKa35SQaNru1K1H AAAJvAgjaxEaBAcx3KtjadvxaArQZ4ROA7AcKadawfhHyDdZas AAAJvAgjaxEaBAcx3KtjadvxaArQZ4ROA7AcKadawfhHyDdZas
       13 u51AIk7vQOmT2vtCDnvplmLXTfjubVAAzyZIa4CrfhDUToYIAL AAAatClkeSo74Saa6SakAaaYAA3vlG7H8KS9G2aXg6AivNIGco AAAatClkeSo74Saa6SakAaaYAA3vlG7H8KS9G2aXg6AivNIGco
       14 MicDAZAa3kvTKGn815NaAAb2gPKjSBUm6M5HQ7dF4yPUOayDrY ACAj6an9vyq9VjWUAaK8madw5BBn6aWtAZsVC2Bqant6rdZaan ACAj6an9vyq9VjWUAaK8madw5BBn6aWtAZsVC2Bqant6rdZaan
       15 EUc4sFaAfefSM81Vhma7baVkOVSaULKaCo1AXB22pI0KzmtE7l AXjhWaV6wFjidHBK5PSAzsTKAUtZhIEQLjBUaiA8bFnspHEAk5 AXjhWaV6wFjidHBK5PSAzsTKAUtZhIEQLjBUaiA8bFnspHEAk5
       16 GroVTApf2XyPDMnwunjCAaa4XmAAyW3vAIaYusSWD6za7Aweig Aa80GSaA5gtLbFTOekKgFWAM7VaCxtaijwp4KA1A2adJtiytiD Aa80GSaA5gtLbFTOekKgFWAM7VaCxtaijwp4KA1A2adJtiytiD
       17 AeIIOsAG3mqy9XABxLjGsFZwAUphRaQEaFOKuBrEAJYfoLBCBr AaWLraRtT4sAPAJfDDtIBYQCTifhPalhsAepFAuOn5aaKbAaL2 AaWLraRtT4sAPAJfDDtIBYQCTifhPalhsAepFAuOn5aaKbAaL2
       18 Z2vB1ADwWrBmotIuaVgsuagvaUHyapqa1voDsZAAawaALT9eWa Aauksx2m0aAhPAEfset8f1UZYsh6GCdQwaOPkaZZAOZbEYp9vf Aauksx2m0aAhPAEfset8f1UZYsh6GCdQwaOPkaZZAOZbEYp9vf
       19 wIcA2R3V1UIvD6iuYbKlWqajIzgO1OroAARaUvVUJdLAFhZwhj AeIIOsAG3mqy9XABxLjGsFZwAUphRaQEaFOKuBrEAJYfoLBCBr AeIIOsAG3mqy9XABxLjGsFZwAUphRaQEaFOKuBrEAJYfoLBCBr
       20 hPoCVdAMNLACATKFZKX3o19LUFugIAzAL0AjpaheaRdxaAaRAx AfFaaTAHAaaaopsEiAUXa1a4fSZXxj59e6pss7aaZabklGrPcP AfFaaTAHAaaaopsEiAUXa1a4fSZXxj59e6pss7aaZabklGrPcP
       21 hlBRxDAl90o2VHkwihfkA36UakgGXApMhgOZOU8Fgw0DZ8UpKB AhNOLLfaGAijEoq4emvcrA3qtAn9mZFsCcCZlTD5DSugcV3rFa AhNOLLfaGAijEoq4emvcrA3qtAn9mZFsCcCZlTD5DSugcV3rFa
       22 Aa80GSaA5gtLbFTOekKgFWAM7VaCxtaijwp4KA1A2adJtiytiD AioAAOGXSDHAR1iyTAA5QcgxaAZIpalvUVxAaeJA1aUhvoQaQa AioAAOGXSDHAR1iyTAA5QcgxaAZIpalvUVxAaeJA1aUhvoQaQa
       23 piASSArAqS47FJEaAB7aJZDcndfA3AyPRaqQRgaC1JIHAAAAvr AmbQa9SKEiY7R4WCA1agbvaalanazEKAfWMeKa35SQaNru1K1H AmbQa9SKEiY7R4WCA1agbvaalanazEKAfWMeKa35SQaNru1K1H
       24 wAy5KNldSYxAadDalVgYaATdM40qCa8IXLadiIARaDdQybtXqM AqAAEe4nSabTbJqAoYP719S16lxOITBaA41PZYAOaDc1JnMC7a AqAAEe4nSabTbJqAoYP719S16lxOITBaA41PZYAOaDc1JnMC7a
       25 RAa5meJoCkb3AmACMbrnLNMaa6AkPgApWIqTeXiGFpfstMReoY AsaF4KSAxAuW6gA2JaCinaYcAvbLfABppi71JAhkAiA7AnhxJ6 AsaF4KSAxAuW6gA2JaCinaYcAvbLfABppi71JAhkAiA7AnhxJ6
       26 AioAAOGXSDHAR1iyTAA5QcgxaAZIpalvUVxAaeJA1aUhvoQaQa CAaGPeBaoAB5zivTZNHLSqob8fIJmof5Tl9XbRUcSG3aF5UDvA CAaGPeBaoAB5zivTZNHLSqob8fIJmof5Tl9XbRUcSG3aF5UDvA
       27 jyGrO4BBPQHy1JAqQGBAZfi2TD99aJ9caANO8BASqaLrReaGJT CavukWjk2h1S21tRSqVoaVe1nyRCq5IwZo9MGaqIBNAkgosCa7 CavukWjk2h1S21tRSqVoaVe1nyRCq5IwZo9MGaqIBNAkgosCa7
       28 7cgjatTxX4llyDaaHhF8U9i1mxFD3AHg1saxeA1EAArfAiEfAh EUc4sFaAfefSM81Vhma7baVkOVSaULKaCo1AXB22pI0KzmtE7l EUc4sFaAfefSM81Vhma7baVkOVSaULKaCo1AXB22pI0KzmtE7l
       29 gtn9KsEpoAaapDZAyPayqaAAAjbG6cnEW5AaeMAReKU4IJSCbY GroVTApf2XyPDMnwunjCAaa4XmAAyW3vAIaYusSWD6za7Aweig GroVTApf2XyPDMnwunjCAaa4XmAAyW3vAIaYusSWD6za7Aweig
       30 eGMVaB7AXAvf15iR8VXjAgCaQBEQF3zaJRagtjTz5Jgv1xAAVa HLeDAN3AANpZrdBWawYa15fA51CA7AuAjxBTxLAvdRCAvNaAep HLeDAN3AANpZrdBWawYa15fA51CA7AuAjxBTxLAvdRCAvNaAep
       31 8aaeOXeicZdXepGdx9laA77ahbdqwemOPAUN16FuKPIAPsA9gt HzuOXTmrMG1ALAjtSAyBVORSE6iqanPLZAKFaPLVHVFa19M6Hk HzuOXTmrMG1ALAjtSAyBVORSE6iqanPLZAKFaPLVHVFa19M6Hk
       32 AaWLraRtT4sAPAJfDDtIBYQCTifhPalhsAepFAuOn5aaKbAaL2 JicYLYabaet0AafeAPOY3tXFOgzCbWcMMAZKzaiyAyVV7gAAX5 JicYLYabaet0AafeAPOY3tXFOgzCbWcMMAZKzaiyAyVV7gAAX5
       33 xODUyGAYAilaaM3acrluLY3sAaUKEXyaWTZA2HtZPhAa7U6ZdH MM9HArAQdVKefTOKvQGtFP9PRUiSVofPRI4TGH7ianZAu9lJ7U MM9HArAQdVKefTOKvQGtFP9PRUiSVofPRI4TGH7ianZAu9lJ7U
       34 6t8GAhmLmtETjBbaT8AAa77aBeYl9baaGsaPq99AZaXjAAyAus MeLWjN3CFJe0GxU2UabTpQw9AeeaBLncIOGLvVaGAbtfHqvIca MeLWjN3CFJe0GxU2UabTpQw9AeeaBLncIOGLvVaGAbtfHqvIca
       35 1tRBQA4G6tW11T6YXqGiAFtUZkug4Ax2AfAbv4zA0AXAXrGXjv MicDAZAa3kvTKGn815NaAAb2gPKjSBUm6M5HQ7dF4yPUOayDrY MicDAZAa3kvTKGn815NaAAb2gPKjSBUm6M5HQ7dF4yPUOayDrY
       36 qa67JoWwmxYsA2MIp3iAm4aAiA7hv3BUAQ5FbNadA5AZ57QO9w NHI1zabW5B0m5aYzFe8taAAC6OGpG6QLYRSAgIGPHaqAC3ADAA NHI1zabW5B0m5aYzFe8taAAC6OGpG6QLYRSAgIGPHaqAC3ADAA
       37 PaSBKAeAy1GtAkaowvHPk3Aaa2jvp7AYvSsRO1f7aaEmmCNtjn OA8XxHLwhyNLALcr7vMAhoAP3VAA5RQEyVGhaA1R9T9EGacToA OA8XxHLwhyNLALcr7vMAhoAP3VAA5RQEyVGhaA1R9T9EGacToA
       38 i4Z3DaGlraECBACN13sIif1AQvr4PQdAYJA4XFwXNZUFaGMbB6 P6yAPplaApIoHAY7MEb9q2DMU8aMiLaZ25ohOxaaLa7U9XBln7 P6yAPplaApIoHAY7MEb9q2DMU8aMiLaZ25ohOxaaLa7U9XBln7
       39 4MlJoOaJBJvHDEANgAVd0a6L7AannIOQlAvU3GnaSmJrluWfAE PaSBKAeAy1GtAkaowvHPk3Aaa2jvp7AYvSsRO1f7aaEmmCNtjn PaSBKAeAy1GtAkaowvHPk3Aaa2jvp7AYvSsRO1f7aaEmmCNtjn
       40 fJakakgaADajyBVfbddAHfY3bsqgyQuAPAawOOGWAlADAja6BC Q318aaa8aNbwG74SrJAi4sPTxrDxac0AAA58IuISuQfgpiA3bA Q318aaa8aNbwG74SrJAi4sPTxrDxac0AAA58IuISuQfgpiA3bA
       41 92HnkAz4qegGNyhAgktNmuIyMAa47a38fm2fBQtF3U582GaAah RAa5meJoCkb3AmACMbrnLNMaa6AkPgApWIqTeXiGFpfstMReoY RAa5meJoCkb3AmACMbrnLNMaa6AkPgApWIqTeXiGFpfstMReoY
       42 HzuOXTmrMG1ALAjtSAyBVORSE6iqanPLZAKFaPLVHVFa19M6Hk S71AAaTa25saX6HUgOamry6ofcZDnwP76oQuALP6MKhAGI5wVl S71AAaTa25saX6HUgOamry6ofcZDnwP76oQuALP6MKhAGI5wVl
       43 5fakAatWDkTAx5FlVaquHeraMLawCnAHOYwBD96arj1e9Aa4aa WkXITk3Iht7vlcA5AAPCAyo8jbRXSEadIrEdGmXMTaa9IaDaku WkXITk3Iht7vlcA5AAPCAyo8jbRXSEadIrEdGmXMTaa9IaDaku
       44 WkXITk3Iht7vlcA5AAPCAyo8jbRXSEadIrEdGmXMTaa9IaDaku WmAHxvNJjrETSQQ1U9SAatlArANtdb2aGRAj2yl4ayoSBybYnl WmAHxvNJjrETSQQ1U9SAatlArANtdb2aGRAj2yl4ayoSBybYnl
       45 nAEmDf8ZAC8aan1iohw2AmGgNaaPjavoaAqy1abeNvdafaEsuG Y246OR4hLR3Cl6lAWEAAyHNbhtEALIDAa32CxaevcKEQYAaa9l Y246OR4hLR3Cl6lAWEAAyHNbhtEALIDAa32CxaevcKEQYAaa9l
       46 jRUXerTVfmKAgaXTQ49w9Ypp2ra2Ah0AEYmNpLaa5JaA8eaHgk Yd7AzVJgAxa3WA4qoaafa5m52ZnXyVVoWPGzmiiu4dGDVAdlaa Yd7AzVJgAxa3WA4qoaafa5m52ZnXyVVoWPGzmiiu4dGDVAdlaa
       47 JicYLYabaet0AafeAPOY3tXFOgzCbWcMMAZKzaiyAyVV7gAAX5 Z2vB1ADwWrBmotIuaVgsuagvaUHyapqa1voDsZAAawaALT9eWa Z2vB1ADwWrBmotIuaVgsuagvaUHyapqa1voDsZAAawaALT9eWa
       48 WmAHxvNJjrETSQQ1U9SAatlArANtdb2aGRAj2yl4ayoSBybYnl ZQATMBAia9n8jEwKA5yRAZ85aE8oeXgS1AAYaoaAaBuyaWaASw ZQATMBAia9n8jEwKA5yRAZ85aE8oeXgS1AAYaoaAaBuyaWaASw
       49 P6yAPplaApIoHAY7MEb9q2DMU8aMiLaZ25ohOxaaLa7U9XBln7 aAE4pbCAxAPutbQYPMmh9PK7sbxTCYcVRpuvMHAAwbk8ULaUMe aAE4pbCAxAPutbQYPMmh9PK7sbxTCYcVRpuvMHAAwbk8ULaUMe
       50 egMEBjydO4AVZ6LXoaglwwcZRZbBaoAIRRAha1CaaCcdyrpa6t aAYdaGaa8a2ppnpjmk3BGAMrAAXARx15MRrWuatARxjp9uOrYd aAYdaGaa8a2ppnpjmk3BGAMrAAXARx15MRrWuatARxjp9uOrYd
       51 tO8UJekaSUAttoPuabj6bpJ0wFaUalR2YllYZtEUa8MuJMpIO5 aFWoagFgwyMjBbwChOhAzGAKs6Uanda9poRntvsaaaUAKWTaD2 aFWoagFgwyMjBbwChOhAzGAKs6Uanda9poRntvsaaaUAKWTaD2
       52 AfFaaTAHAaaaopsEiAUXa1a4fSZXxj59e6pss7aaZabklGrPcP aPlTwVnAa6BvohaaZaaGyOA7ymZpA4yLDCa3Etu2ZPtkvMncaF aPlTwVnAa6BvohaaZaaGyOA7ymZpA4yLDCa3Etu2ZPtkvMncaF
       53 OA8XxHLwhyNLALcr7vMAhoAP3VAA5RQEyVGhaA1R9T9EGacToA aYcGiEavLYUsInnwGABnJl38QelFRSavkj5nKt87kAflRPUffE aYcGiEavLYUsInnwGABnJl38QelFRSavkj5nKt87kAflRPUffE
       54 CAaGPeBaoAB5zivTZNHLSqob8fIJmof5Tl9XbRUcSG3aF5UDvA afCeDuAQpZGTyapVRgSeauL4Ahzdyk8WDgABAvsWXmaqbjMvHX afCeDuAQpZGTyapVRgSeauL4Ahzdyk8WDgABAvsWXmaqbjMvHX
       55 Aauksx2m0aAhPAEfset8f1UZYsh6GCdQwaOPkaZZAOZbEYp9vf ahonTjzVfa6SAngUAAAVbaVm4jla5pcOZdAqdAqFyKBAjaxvaa ahonTjzVfa6SAngUAAAVbaVm4jla5pcOZdAqdAqFyKBAjaxvaa
       56 MM9HArAQdVKefTOKvQGtFP9PRUiSVofPRI4TGH7ianZAu9lJ7U azwzDJHjoTX3JhXahWGeIRAPBjdIm0CSGsVLkAAMtUAaWrvsi3 azwzDJHjoTX3JhXahWGeIRAPBjdIm0CSGsVLkAAMtUAaWrvsi3
       57 ma6Tvpn6lNHaS7iaZujAyRaH5PTYkWsGkACdPiTECtapaR1A58 bEKaaAw80U9Xm6rFA5L7ARlupOkhA8nOhTIasxDCAakayMayXO bEKaaAw80U9Xm6rFA5L7ARlupOkhA8nOhTIasxDCAakayMayXO
       58 llJuYaJyOQSyQGNWOzsYAAO8AJ1FrELkJCVayKlBBA8iaAR29G cBmAJysAaqZATnO7AYM3AvjAdw7PaiOAlQGAFXMVYKaA4rSIID cBmAJysAaqZATnO7AYM3AvjAdw7PaiOAlQGAFXMVYKaA4rSIID
       59 aAYdaGaa8a2ppnpjmk3BGAMrAAXARx15MRrWuatARxjp9uOrYd cKnaa2YHOWJKLDjZhaWnuV3sZ6aFszyO3txnAxalb8yKymORAZ cKnaa2YHOWJKLDjZhaWnuV3sZ6aFszyO3txnAxalb8yKymORAZ
       60 bEKaaAw80U9Xm6rFA5L7ARlupOkhA8nOhTIasxDCAakayMayXO cahSJAXlJmozbdAw5yd5KAauYyZSmdNyzmsAaaJhaAH1Lup7Fd cahSJAXlJmozbdAw5yd5KAauYyZSmdNyzmsAaaJhaAH1Lup7Fd
       61 s1AaljcCjaW8KXIei2tkAPRF2iPapaJvyajeIGkCaJAYNhFFAC d5xhXeFpswnYgYoN9jyaAWao4avKFUgoVIXA69qMA9AaIYSYJ3 d5xhXeFpswnYgYoN9jyaAWao4avKFUgoVIXA69qMA9AaIYSYJ3
       62 NHI1zabW5B0m5aYzFe8taAAC6OGpG6QLYRSAgIGPHaqAC3ADAA eGMVaB7AXAvf15iR8VXjAgCaQBEQF3zaJRagtjTz5Jgv1xAAVa eGMVaB7AXAvf15iR8VXjAgCaQBEQF3zaJRagtjTz5Jgv1xAAVa
       63 aYcGiEavLYUsInnwGABnJl38QelFRSavkj5nKt87kAflRPUffE egMEBjydO4AVZ6LXoaglwwcZRZbBaoAIRRAha1CaaCcdyrpa6t egMEBjydO4AVZ6LXoaglwwcZRZbBaoAIRRAha1CaaCcdyrpa6t
       64 gbn0HYgNQzHadaanZchI11NarKbuAgUQ71wswAFoFYArFsSAF5 fJakakgaADajyBVfbddAHfY3bsqgyQuAPAawOOGWAlADAja6BC fJakakgaADajyBVfbddAHfY3bsqgyQuAPAawOOGWAlADAja6BC
       65 p2E3eD6HRIuAMlAamm7UKlfa0yjXcaZoNmvhxA7DAV0U9OpRV2 g7AvApkAazZtXnKIaGAbO4q42JaxCMvkAAXarnJaPomgaAA7nE g7AvApkAazZtXnKIaGAbO4q42JaxCMvkAAXarnJaPomgaAA7nE
       66 jtL33qianiAcMeqis3RWlDwhaAA3706pA7Ieh88DqFbh7pAMJ1 gbn0HYgNQzHadaanZchI11NarKbuAgUQ71wswAFoFYArFsSAF5 gbn0HYgNQzHadaanZchI11NarKbuAgUQ71wswAFoFYArFsSAF5
       67 AhNOLLfaGAijEoq4emvcrA3qtAn9mZFsCcCZlTD5DSugcV3rFa gtn9KsEpoAaapDZAyPayqaAAAjbG6cnEW5AaeMAReKU4IJSCbY gtn9KsEpoAaapDZAyPayqaAAAjbG6cnEW5AaeMAReKU4IJSCbY
       68 aFWoagFgwyMjBbwChOhAzGAKs6Uanda9poRntvsaaaUAKWTaD2 hIYjRNLTrTiU9rdUauarqeakNaGABkWuwBXNaEkU4GElUAUea2 hIYjRNLTrTiU9rdUauarqeakNaGABkWuwBXNaEkU4GElUAUea2
       69 kuAEJWNEtAfqWMeZWrbmEb9APKADdl498aA0AxehT8cbjGLkUh hPoCVdAMNLACATKFZKX3o19LUFugIAzAL0AjpaheaRdxaAaRAx hPoCVdAMNLACATKFZKX3o19LUFugIAzAL0AjpaheaRdxaAaRAx
       70 Yd7AzVJgAxa3WA4qoaafa5m52ZnXyVVoWPGzmiiu4dGDVAdlaa hlBRxDAl90o2VHkwihfkA36UakgGXApMhgOZOU8Fgw0DZ8UpKB hlBRxDAl90o2VHkwihfkA36UakgGXApMhgOZOU8Fgw0DZ8UpKB
       71 xA90o87MBwjeecf5Aaksd9SQBxEhDkx9ybWeauqayaz3ctaApZ hwPh9Mr1MHYpGWaaMA5OELb8af6uwWiwAuxvfSWa9fC1aAJwDE hwPh9Mr1MHYpGWaaMA5OELb8af6uwWiwAuxvfSWa9fC1aAJwDE
       72 S71AAaTa25saX6HUgOamry6ofcZDnwP76oQuALP6MKhAGI5wVl i4Z3DaGlraECBACN13sIif1AQvr4PQdAYJA4XFwXNZUFaGMbB6 i4Z3DaGlraECBACN13sIif1AQvr4PQdAYJA4XFwXNZUFaGMbB6
       73 ahonTjzVfa6SAngUAAAVbaVm4jla5pcOZdAqdAqFyKBAjaxvaa ieAa2iVxaE5Bx98iAZMAbq3eaxqS2OkaYaXrT9RbAPaRnATCCH ieAa2iVxaE5Bx98iAZMAbq3eaxqS2OkaYaXrT9RbAPaRnATCCH
       74 Y246OR4hLR3Cl6lAWEAAyHNbhtEALIDAa32CxaevcKEQYAaa9l jRUXerTVfmKAgaXTQ49w9Ypp2ra2Ah0AEYmNpLaa5JaA8eaHgk jRUXerTVfmKAgaXTQ49w9Ypp2ra2Ah0AEYmNpLaa5JaA8eaHgk
       75 AsaF4KSAxAuW6gA2JaCinaYcAvbLfABppi71JAhkAiA7AnhxJ6 jtL33qianiAcMeqis3RWlDwhaAA3706pA7Ieh88DqFbh7pAMJ1 jtL33qianiAcMeqis3RWlDwhaAA3706pA7Ieh88DqFbh7pAMJ1
       76 cBmAJysAaqZATnO7AYM3AvjAdw7PaiOAlQGAFXMVYKaA4rSIID jyGrO4BBPQHy1JAqQGBAZfi2TD99aJ9caANO8BASqaLrReaGJT jyGrO4BBPQHy1JAqQGBAZfi2TD99aJ9caANO8BASqaLrReaGJT
       77 q3bAaaBAPOM2ar3dwd7AamJCfSIWqaaaWfgt5AALApQCsWXatR kuAEJWNEtAfqWMeZWrbmEb9APKADdl498aA0AxehT8cbjGLkUh kuAEJWNEtAfqWMeZWrbmEb9APKADdl498aA0AxehT8cbjGLkUh
       78 Q318aaa8aNbwG74SrJAi4sPTxrDxac0AAA58IuISuQfgpiA3bA l8a42NqREAH2Av3DX8s8ZVL6hIaknuazegaxS6AAPF8G9qAui0 l8a42NqREAH2Av3DX8s8ZVL6hIaknuazegaxS6AAPF8G9qAui0
       79 azwzDJHjoTX3JhXahWGeIRAPBjdIm0CSGsVLkAAMtUAaWrvsi3 lgc39hG3CuAAbSmdUFcA83uEioAYoXsoFFCUDbxwP3TQYYMv3a lgc39hG3CuAAbSmdUFcA83uEioAYoXsoFFCUDbxwP3TQYYMv3a
       80 g7AvApkAazZtXnKIaGAbO4q42JaxCMvkAAXarnJaPomgaAA7nE llJuYaJyOQSyQGNWOzsYAAO8AJ1FrELkJCVayKlBBA8iaAR29G llJuYaJyOQSyQGNWOzsYAAO8AJ1FrELkJCVayKlBBA8iaAR29G
       81 d5xhXeFpswnYgYoN9jyaAWao4avKFUgoVIXA69qMA9AaIYSYJ3 ma6Tvpn6lNHaS7iaZujAyRaH5PTYkWsGkACdPiTECtapaR1A58 ma6Tvpn6lNHaS7iaZujAyRaH5PTYkWsGkACdPiTECtapaR1A58
       82 qvXAPAMSaUIzwDo52W4a7BAEaA1aVaRaEdFCAAiAoX1qC0hOkH nAEmDf8ZAC8aan1iohw2AmGgNaaPjavoaAqy1abeNvdafaEsuG nAEmDf8ZAC8aan1iohw2AmGgNaaPjavoaAqy1abeNvdafaEsuG
       83 hIYjRNLTrTiU9rdUauarqeakNaGABkWuwBXNaEkU4GElUAUea2 p2E3eD6HRIuAMlAamm7UKlfa0yjXcaZoNmvhxA7DAV0U9OpRV2 p2E3eD6HRIuAMlAamm7UKlfa0yjXcaZoNmvhxA7DAV0U9OpRV2
       84 AXjhWaV6wFjidHBK5PSAzsTKAUtZhIEQLjBUaiA8bFnspHEAk5 pAkAfrPkAjBawBWm9YLayMevRAk7IZeMJv6xhQAaszOMaDgXAI pAkAfrPkAjBawBWm9YLayMevRAk7IZeMJv6xhQAaszOMaDgXAI
       85 lgc39hG3CuAAbSmdUFcA83uEioAYoXsoFFCUDbxwP3TQYYMv3a piASSArAqS47FJEaAB7aJZDcndfA3AyPRaqQRgaC1JIHAAAAvr piASSArAqS47FJEaAB7aJZDcndfA3AyPRaqQRgaC1JIHAAAAvr
       86 3HMU54jaxiGhaAQAh3kAEoURTPyj6hBlagmfaaLaE3RaAAm3wj q3bAaaBAPOM2ar3dwd7AamJCfSIWqaaaWfgt5AALApQCsWXatR q3bAaaBAPOM2ar3dwd7AamJCfSIWqaaaWfgt5AALApQCsWXatR
       87 HLeDAN3AANpZrdBWawYa15fA51CA7AuAjxBTxLAvdRCAvNaAep qa67JoWwmxYsA2MIp3iAm4aAiA7hv3BUAQ5FbNadA5AZ57QO9w qa67JoWwmxYsA2MIp3iAm4aAiA7hv3BUAQ5FbNadA5AZ57QO9w
       88 ACAj6an9vyq9VjWUAaK8madw5BBn6aWtAZsVC2Bqant6rdZaan qvXAPAMSaUIzwDo52W4a7BAEaA1aVaRaEdFCAAiAoX1qC0hOkH qvXAPAMSaUIzwDo52W4a7BAEaA1aVaRaEdFCAAiAoX1qC0hOkH
       89 AAAJvAgjaxEaBAcx3KtjadvxaArQZ4ROA7AcKadawfhHyDdZas s1AaljcCjaW8KXIei2tkAPRF2iPapaJvyajeIGkCaJAYNhFFAC s1AaljcCjaW8KXIei2tkAPRF2iPapaJvyajeIGkCaJAYNhFFAC
       90 xKtHM2XbDeWW4hhFAR5bgLVWwAqAAbQjlmPOa8LNfaCVkleAS3 tO8UJekaSUAttoPuabj6bpJ0wFaUalR2YllYZtEUa8MuJMpIO5 tO8UJekaSUAttoPuabj6bpJ0wFaUalR2YllYZtEUa8MuJMpIO5
       91 va4akA1UaSumJaduADYaAp9aAbahzSzawFgpqBAsdTaaVLYK0h u51AIk7vQOmT2vtCDnvplmLXTfjubVAAzyZIa4CrfhDUToYIAL u51AIk7vQOmT2vtCDnvplmLXTfjubVAAzyZIa4CrfhDUToYIAL
       92 ieAa2iVxaE5Bx98iAZMAbq3eaxqS2OkaYaXrT9RbAPaRnATCCH va4akA1UaSumJaduADYaAp9aAbahzSzawFgpqBAsdTaaVLYK0h va4akA1UaSumJaduADYaAp9aAbahzSzawFgpqBAsdTaaVLYK0h
       93 aPlTwVnAa6BvohaaZaaGyOA7ymZpA4yLDCa3Etu2ZPtkvMncaF wAy5KNldSYxAadDalVgYaATdM40qCa8IXLadiIARaDdQybtXqM wAy5KNldSYxAadDalVgYaATdM40qCa8IXLadiIARaDdQybtXqM
       94 aAE4pbCAxAPutbQYPMmh9PK7sbxTCYcVRpuvMHAAwbk8ULaUMe wIcA2R3V1UIvD6iuYbKlWqajIzgO1OroAARaUvVUJdLAFhZwhj wIcA2R3V1UIvD6iuYbKlWqajIzgO1OroAARaUvVUJdLAFhZwhj
       95 afCeDuAQpZGTyapVRgSeauL4Ahzdyk8WDgABAvsWXmaqbjMvHX xA90o87MBwjeecf5Aaksd9SQBxEhDkx9ybWeauqayaz3ctaApZ xA90o87MBwjeecf5Aaksd9SQBxEhDkx9ybWeauqayaz3ctaApZ
       96 5jEZwjHNnaYERZGvw1YC61kAeqSaaRfBtZtgWxfaRZA39HcsAO xKtHM2XbDeWW4hhFAR5bgLVWwAqAAbQjlmPOa8LNfaCVkleAS3 xKtHM2XbDeWW4hhFAR5bgLVWwAqAAbQjlmPOa8LNfaCVkleAS3
       97 AAAatClkeSo74Saa6SakAaaYAA3vlG7H8KS9G2aXg6AivNIGco xODUyGAYAilaaM3acrluLY3sAaUKEXyaWTZA2HtZPhAa7U6ZdH xODUyGAYAilaaM3acrluLY3sAaUKEXyaWTZA2HtZPhAa7U6ZdH
 Sort double precision:
        1    877.3952        5.462978        5.462978    
        2    912.7193        5.618021        5.618021    
